Data and time, Laser status, Laser current power (W), Laser current, Laser set power (W), LBO status, LBO current temp (C), LBO current, LBO set temp (C), VANADATE status, VANADATE current temp (C), VANADATE current, VANADATE set temp (C), ETALON status, ETALON current temp (C), ETALON current, ETALON set temp (C), DIODE1 status, DIODE1 current temp (C), DIODE1 temp current, DIODE1 set temp (C), DIODE1 current (A), DIODE2 status, DIODE2 current temp (C), DIODE2 temp current, DIODE2 set temp (C), DIODE2 current (A), Baseplate Temp (C), Heatsink Temp 1 (C), Heatsink Temp 2 (C)
2018-05-24T21:04:51.736215, LOCKED, 13.071, 50.84, 13.0000, LOCKED, 147.09, 4903.92, 147.08, LOCKED, 30.08, -2140.47, 30.00, LOCKED, 52.99, 242.83, 53.00, SEEKING, 22.43, -1574.39, 22.98, 49.38, LOCKED, 22.85, -1898.98, 22.18, 49.38, 32.95, 33.96, 38.40
2018-05-24T21:06:00.500213, LOCKED, 12.851, 50.80, 13.0000, LOCKED, 147.07, 4963.44, 147.08, LOCKED, 30.05, -2145.72, 30.00, LOCKED, 53.02, 228.83, 53.00, LOCKED, 22.91, -1523.41, 22.98, 49.38, SEEKING, 21.64, -1822.15, 22.18, 49.38, 33.04, 33.62, 38.62
2018-05-24T21:07:10.224548, LOCKED, 13.087, 50.87, 13.0000, LOCKED, 147.04, 4917.54, 147.08, LOCKED, 30.05, -2155.70, 30.00, LOCKED, 53.00, 217.66, 53.00, SEEKING, 23.35, -1499.86, 22.98, 49.38, LOCKED, 22.26, -1967.32, 22.18, 49.38, 33.08, 33.78, 39.05
2018-05-24T21:08:19.052559, LOCKED, 12.875, 50.78, 13.0000, LOCKED, 147.05, 4849.73, 147.08, LOCKED, 30.05, -2167.27, 30.00, LOCKED, 53.01, 205.40, 53.00, LOCKED, 22.56, -1719.67, 22.98, 49.38, SEEKING, 21.65, -1836.01, 22.18, 49.38, 33.14, 34.08, 39.16
2018-05-24T21:09:27.866750, LOCKED, 13.104, 50.75, 13.0000, LOCKED, 147.09, 4809.88, 147.08, LOCKED, 30.06, -2165.53, 30.00, LOCKED, 53.06, 194.95, 53.00, LOCKED, 22.77, -1643.26, 22.98, 49.38, LOCKED, 22.42, -1890.85, 22.18, 49.38, 33.20, 33.63, 39.24
2018-05-24T21:10:36.679917, LOCKED, 12.924, 50.77, 13.0000, LOCKED, 147.16, 4832.66, 147.08, LOCKED, 30.08, -2171.80, 30.00, LOCKED, 53.02, 184.67, 53.00, LOCKED, 23.15, -1675.85, 22.98, 49.38, SEEKING, 22.10, -2010.75, 22.18, 49.38, 33.27, 34.22, 39.79
2018-05-24T21:11:45.498837, LOCKED, 12.859, 50.89, 13.0000, LOCKED, 147.12, 4791.92, 147.08, LOCKED, 30.04, -2176.52, 30.00, LOCKED, 52.99, 176.87, 53.00, SEEKING, 23.10, -1492.73, 22.98, 49.38, SEEKING, 22.16, -1963.72, 22.18, 49.38, 33.28, 34.39, 39.87
2018-05-24T21:12:54.281391, LOCKED, 13.030, 50.62, 13.0000, LOCKED, 147.13, 4857.43, 147.08, LOCKED, 30.05, -2183.60, 30.00, LOCKED, 53.00, 166.23, 53.00, SEEKING, 22.45, -1623.60, 22.98, 49.38, LOCKED, 22.18, -2016.29, 22.18, 49.38, 33.32, 34.83, 39.91
2018-05-24T21:14:03.992177, LOCKED, 13.079, 50.69, 13.0000, LOCKED, 147.10, 4809.40, 147.08, LOCKED, 30.04, -2187.93, 30.00, LOCKED, 53.02, 157.32, 53.00, LOCKED, 23.47, -1549.05, 22.98, 49.38, LOCKED, 22.03, -2032.58, 22.18, 49.38, 33.38, 34.44, 39.95
2018-05-24T21:15:12.784010, LOCKED, 12.867, 50.81, 13.0000, LOCKED, 147.05, 4827.36, 147.08, LOCKED, 30.07, -2197.09, 30.00, LOCKED, 52.99, 146.87, 53.00, LOCKED, 23.01, -1658.03, 22.98, 49.38, SEEKING, 22.31, -1879.43, 22.18, 49.38, 33.43, 34.30, 40.24
