Data and time, Laser status, Laser current power (W), Laser current, Laser set power (W), LBO status, LBO current temp (C), LBO current, LBO set temp (C), VANADATE status, VANADATE current temp (C), VANADATE current, VANADATE set temp (C), ETALON status, ETALON current temp (C), ETALON current, ETALON set temp (C), DIODE1 status, DIODE1 current temp (C), DIODE1 temp current, DIODE1 set temp (C), DIODE1 current (A), DIODE2 status, DIODE2 current temp (C), DIODE2 temp current, DIODE2 set temp (C), DIODE2 current (A), Baseplate Temp (C), Heatsink Temp 1 (C), Heatsink Temp 2 (C)
2018-05-24T17:07:16.318556, SEEKING, 0.191, 37.91, 13.0000, LOCKED, 147.05, 5687.67, 147.08, LOCKED, 30.05, -3407.97, 30.00, LOCKED, 53.01, 514.79, 53.00, SEEKING, 22.76, -1239.19, 22.98, 32.24, LOCKED, 22.20, -1425.17, 22.18, 32.24, 39.29, 30.39, 34.99
2018-05-24T17:08:25.134235, SEEKING, 0.174, 37.94, 13.0000, LOCKED, 147.03, 5752.60, 147.08, LOCKED, 30.06, -3399.52, 30.00, LOCKED, 53.01, 514.76, 53.00, SEEKING, 23.44, -1163.65, 22.98, 32.24, LOCKED, 22.14, -1429.20, 22.18, 32.24, 39.23, 30.18, 35.42
2018-05-24T17:09:33.950996, SEEKING, 0.223, 37.93, 13.0000, LOCKED, 147.07, 5736.87, 147.08, LOCKED, 30.01, -3398.54, 30.00, LOCKED, 53.01, 513.55, 53.00, LOCKED, 22.80, -1240.03, 22.98, 32.24, LOCKED, 22.09, -1399.67, 22.18, 32.24, 39.26, 30.43, 35.31
2018-05-24T17:10:42.763564, SEEKING, 0.191, 37.93, 13.0000, LOCKED, 147.12, 5685.77, 147.08, LOCKED, 30.01, -3410.15, 30.00, LOCKED, 53.04, 513.29, 53.00, LOCKED, 23.09, -1274.72, 22.98, 32.24, LOCKED, 21.79, -1515.72, 22.18, 32.24, 39.26, 30.95, 35.41
2018-05-24T17:11:51.585206, SEEKING, 0.280, 37.87, 13.0000, LOCKED, 147.14, 5694.71, 147.08, LOCKED, 30.07, -3407.50, 30.00, LOCKED, 53.01, 512.40, 53.00, LOCKED, 23.05, -1226.66, 22.98, 32.24, LOCKED, 22.50, -1401.66, 22.18, 32.24, 39.28, 30.60, 35.59
2018-05-24T17:13:00.401638, SEEKING, 0.183, 37.85, 13.0000, LOCKED, 147.16, 5719.49, 147.08, LOCKED, 30.02, -3408.04, 30.00, LOCKED, 53.00, 513.58, 53.00, LOCKED, 22.83, -1261.56, 22.98, 32.24, LOCKED, 21.85, -1322.78, 22.18, 32.24, 39.28, 30.62, 35.30
2018-05-24T17:14:10.086150, SEEKING, 0.174, 37.91, 13.0000, LOCKED, 147.08, 5726.73, 147.08, LOCKED, 30.06, -3422.67, 30.00, LOCKED, 53.02, 512.85, 53.00, LOCKED, 22.73, -1240.98, 22.98, 32.24, SEEKING, 21.59, -1484.34, 22.18, 32.24, 39.31, 30.71, 35.34
2018-05-24T17:15:18.883139, SEEKING, 0.174, 37.93, 13.0000, LOCKED, 147.04, 5727.91, 147.08, LOCKED, 30.05, -3406.06, 30.00, LOCKED, 53.00, 513.38, 53.00, LOCKED, 22.68, -1241.04, 22.98, 32.24, LOCKED, 22.19, -1497.30, 22.18, 32.24, 39.28, 30.77, 34.92
2018-05-24T17:16:27.684197, SEEKING, 0.183, 37.84, 13.0000, LOCKED, 147.00, 5727.93, 147.08, LOCKED, 30.05, -3418.27, 30.00, LOCKED, 53.01, 513.30, 53.00, LOCKED, 23.01, -1232.28, 22.98, 32.24, SEEKING, 21.89, -1460.11, 22.18, 32.24, 39.31, 30.85, 35.07
2018-05-24T17:17:36.498971, SEEKING, 0.174, 37.84, 13.0000, LOCKED, 147.06, 5733.21, 147.08, LOCKED, 30.04, -3404.22, 30.00, LOCKED, 53.00, 513.69, 53.00, LOCKED, 22.87, -1225.91, 22.98, 32.24, LOCKED, 22.22, -1437.29, 22.18, 32.24, 39.27, 30.78, 35.21
2018-05-24T17:18:45.279798, SEEKING, 0.174, 37.86, 13.0000, LOCKED, 147.08, 5719.30, 147.08, LOCKED, 30.06, -3421.26, 30.00, LOCKED, 53.02, 513.45, 53.00, LOCKED, 22.85, -1233.29, 22.98, 32.24, LOCKED, 22.37, -1527.25, 22.18, 32.24, 39.32, 30.76, 35.37
2018-05-24T17:19:54.084651, SEEKING, 0.174, 37.93, 13.0000, LOCKED, 147.06, 5725.38, 147.08, LOCKED, 30.04, -3402.99, 30.00, LOCKED, 53.03, 512.23, 53.00, LOCKED, 23.09, -1246.25, 22.98, 32.24, LOCKED, 21.87, -1397.11, 22.18, 32.24, 39.25, 30.85, 35.26
2018-05-24T17:21:02.885876, SEEKING, 0.183, 37.86, 13.0000, LOCKED, 147.09, 5735.47, 147.08, LOCKED, 30.01, -3409.46, 30.00, LOCKED, 53.01, 513.02, 53.00, LOCKED, 23.38, -1206.60, 22.98, 32.24, LOCKED, 22.13, -1514.01, 22.18, 32.24, 39.26, 31.20, 35.22
2018-05-24T17:22:12.137531, SEEKING, 0.174, 37.87, 13.0000, LOCKED, 147.07, 5748.37, 147.08, LOCKED, 30.06, -3405.31, 30.00, LOCKED, 53.00, 513.09, 53.00, LOCKED, 23.20, -1239.34, 22.98, 32.24, LOCKED, 22.57, -1433.82, 22.18, 32.24, 39.28, 30.67, 35.07
2018-05-24T17:23:20.921698, SEEKING, 0.191, 37.95, 13.0000, LOCKED, 147.07, 5756.39, 147.08, LOCKED, 30.06, -3412.25, 30.00, LOCKED, 53.01, 510.81, 53.00, LOCKED, 23.01, -1230.23, 22.98, 32.24, LOCKED, 22.52, -1522.55, 22.18, 32.24, 39.30, 30.86, 35.83
2018-05-24T17:24:29.711887, SEEKING, 0.174, 37.91, 13.0000, LOCKED, 147.13, 5735.26, 147.08, LOCKED, 30.06, -3396.44, 30.00, LOCKED, 52.99, 510.07, 53.00, SEEKING, 22.84, -1189.50, 22.98, 32.24, LOCKED, 22.30, -1365.30, 22.18, 32.24, 39.23, 30.80, 35.32
2018-05-24T17:25:38.509990, SEEKING, 0.215, 37.85, 13.0000, LOCKED, 147.06, 5733.46, 147.08, LOCKED, 30.05, -3421.28, 30.00, LOCKED, 53.01, 512.74, 53.00, LOCKED, 22.62, -1224.38, 22.98, 32.24, LOCKED, 22.12, -1418.33, 22.18, 32.24, 39.34, 30.80, 34.77
2018-05-24T17:26:47.286520, SEEKING, 0.174, 37.78, 13.0000, LOCKED, 147.14, 5669.60, 147.08, LOCKED, 30.05, -3405.22, 30.00, LOCKED, 53.02, 510.76, 53.00, LOCKED, 22.92, -1178.41, 22.98, 32.24, LOCKED, 22.17, -1458.82, 22.18, 32.24, 39.27, 30.59, 35.64
2018-05-24T17:27:56.103434, SEEKING, 0.191, 37.91, 13.0000, LOCKED, 147.09, 5741.63, 147.08, LOCKED, 30.05, -3419.04, 30.00, LOCKED, 53.06, 510.07, 53.00, SEEKING, 23.29, -1298.03, 22.98, 32.24, LOCKED, 22.04, -1489.64, 22.18, 32.24, 39.32, 31.10, 35.62
2018-05-24T17:29:05.838902, SEEKING, 0.215, 37.99, 13.0000, LOCKED, 147.11, 5756.35, 147.08, LOCKED, 30.05, -3419.91, 30.00, LOCKED, 53.01, 508.88, 53.00, LOCKED, 23.01, -1212.26, 22.98, 32.24, LOCKED, 22.21, -1476.98, 22.18, 32.24, 39.32, 31.02, 35.47
2018-05-24T17:30:14.645541, SEEKING, 0.215, 37.86, 13.0000, LOCKED, 147.17, 5726.70, 147.08, LOCKED, 30.05, -3416.98, 30.00, LOCKED, 52.99, 512.53, 53.00, LOCKED, 22.94, -1264.83, 22.98, 32.24, LOCKED, 22.13, -1506.80, 22.18, 32.24, 39.31, 30.71, 35.00
2018-05-24T17:31:23.410443, SEEKING, 0.199, 37.84, 13.0000, LOCKED, 147.07, 5731.85, 147.08, LOCKED, 30.05, -3422.68, 30.00, LOCKED, 52.99, 510.25, 53.00, LOCKED, 23.09, -1195.85, 22.98, 32.24, LOCKED, 21.84, -1476.45, 22.18, 32.24, 39.33, 30.67, 35.74
2018-05-24T17:32:32.214803, SEEKING, 0.232, 37.92, 13.0000, LOCKED, 147.10, 5754.06, 147.08, LOCKED, 30.07, -3427.27, 30.00, LOCKED, 52.99, 508.45, 53.00, LOCKED, 23.10, -1261.81, 22.98, 32.24, LOCKED, 21.94, -1485.84, 22.18, 32.24, 39.36, 30.70, 35.71
2018-05-24T17:33:41.032749, SEEKING, 0.174, 37.86, 13.0000, LOCKED, 147.07, 5725.45, 147.08, LOCKED, 30.07, -3422.14, 30.00, LOCKED, 53.02, 509.69, 53.00, SEEKING, 22.74, -1245.08, 22.98, 32.24, LOCKED, 22.44, -1489.41, 22.18, 32.24, 39.35, 30.74, 35.59
2018-05-24T17:34:49.851378, SEEKING, 0.240, 37.91, 13.0000, LOCKED, 147.07, 5699.12, 147.08, LOCKED, 30.07, -3412.52, 30.00, LOCKED, 53.02, 508.50, 53.00, LOCKED, 22.91, -1245.31, 22.98, 32.24, LOCKED, 22.26, -1474.92, 22.18, 32.24, 39.30, 31.06, 35.27
2018-05-24T17:35:58.671370, SEEKING, 0.232, 37.88, 13.0000, LOCKED, 147.11, 5694.79, 147.08, LOCKED, 30.04, -3399.28, 30.00, LOCKED, 53.02, 508.27, 53.00, LOCKED, 22.96, -1262.25, 22.98, 32.24, LOCKED, 22.15, -1334.76, 22.18, 32.24, 39.27, 31.08, 35.42
2018-05-24T17:37:08.400193, SEEKING, 0.174, 37.88, 13.0000, LOCKED, 147.04, 5674.51, 147.08, LOCKED, 30.02, -3412.17, 30.00, LOCKED, 53.01, 509.59, 53.00, LOCKED, 23.08, -1293.04, 22.98, 32.24, LOCKED, 21.89, -1440.79, 22.18, 32.24, 39.29, 31.22, 35.77
2018-05-24T17:38:17.219386, SEEKING, 0.280, 37.85, 13.0000, LOCKED, 147.02, 5710.04, 147.08, LOCKED, 30.06, -3431.01, 30.00, LOCKED, 53.00, 510.02, 53.00, LOCKED, 22.83, -1237.59, 22.98, 32.24, LOCKED, 22.39, -1543.89, 22.18, 32.24, 39.36, 31.11, 35.70
2018-05-24T17:39:26.014442, SEEKING, 0.183, 37.79, 13.0000, LOCKED, 147.04, 5718.30, 147.08, LOCKED, 30.02, -3401.94, 30.00, LOCKED, 53.01, 507.11, 53.00, LOCKED, 22.84, -1237.62, 22.98, 32.24, LOCKED, 22.20, -1459.30, 22.18, 32.24, 39.28, 30.59, 35.42
