Data and time, Laser status, Laser current power (W), Laser current, Laser set power (W), LBO status, LBO current temp (C), LBO current, LBO set temp (C), VANADATE status, VANADATE current temp (C), VANADATE current, VANADATE set temp (C), ETALON status, ETALON current temp (C), ETALON current, ETALON set temp (C), DIODE1 status, DIODE1 current temp (C), DIODE1 temp current, DIODE1 set temp (C), DIODE1 current (A), DIODE2 status, DIODE2 current temp (C), DIODE2 temp current, DIODE2 set temp (C), DIODE2 current (A), Baseplate Temp (C), Heatsink Temp 1 (C), Heatsink Temp 2 (C)
2018-05-24T13:27:51.102773, SEEKING, 0.174, 4.89, 13.0000, LOCKED, 147.18, 6195.67, 147.08, OPEN, 20.05, 0.00, 30.00, LOCKED, 53.01, 1382.82, 53.00, LOCKED, 22.96, -501.81, 22.98, 0.00, LOCKED, 22.27, -572.14, 22.18, 0.00, 19.35, 24.10, 25.40
2018-05-24T13:28:59.918258, SEEKING, 0.174, 4.89, 13.0000, LOCKED, 147.05, 6215.46, 147.08, OPEN, 20.05, 0.00, 30.00, LOCKED, 53.05, 1383.52, 53.00, LOCKED, 22.83, -496.23, 22.98, 0.00, LOCKED, 22.23, -587.79, 22.18, 0.00, 19.32, 24.02, 25.50
2018-05-24T13:30:09.608765, SEEKING, 0.174, 4.91, 13.0000, LOCKED, 147.15, 6225.31, 147.08, OPEN, 20.03, 0.00, 30.00, LOCKED, 53.00, 1386.41, 53.00, LOCKED, 23.00, -511.88, 22.98, 0.00, LOCKED, 22.21, -572.66, 22.18, 0.00, 19.34, 24.26, 25.52
2018-05-24T13:31:18.429037, SEEKING, 0.191, 4.92, 13.0000, LOCKED, 147.04, 6240.03, 147.08, OPEN, 20.04, 0.00, 30.00, LOCKED, 53.01, 1387.90, 53.00, LOCKED, 23.00, -502.50, 22.98, 0.00, LOCKED, 22.33, -573.87, 22.18, 0.00, 19.34, 24.05, 25.52
2018-05-24T13:32:27.249489, SEEKING, 0.174, 4.90, 13.0000, LOCKED, 147.07, 6239.27, 147.08, OPEN, 20.05, 0.00, 30.00, LOCKED, 53.00, 1389.60, 53.00, LOCKED, 23.00, -501.92, 22.98, 0.00, LOCKED, 22.16, -574.56, 22.18, 0.00, 19.34, 23.94, 25.46
2018-05-24T13:33:36.062878, SEEKING, 0.174, 4.93, 13.0000, LOCKED, 147.03, 6157.33, 147.08, OPEN, 20.07, 0.00, 30.00, LOCKED, 53.00, 1391.04, 53.00, LOCKED, 22.98, -524.60, 22.98, 0.00, LOCKED, 22.17, -570.73, 22.18, 0.00, 19.31, 24.12, 25.59
2018-05-24T13:34:44.876930, SEEKING, 0.174, 4.93, 13.0000, LOCKED, 147.03, 6240.47, 147.08, OPEN, 20.05, 0.00, 30.00, LOCKED, 53.02, 1390.86, 53.00, LOCKED, 22.97, -491.61, 22.98, 0.00, LOCKED, 22.04, -568.94, 22.18, 0.00, 19.32, 24.06, 25.36
2018-05-24T13:35:53.692366, SEEKING, 0.174, 4.87, 13.0000, LOCKED, 147.03, 6258.83, 147.08, OPEN, 20.01, 0.00, 30.00, LOCKED, 53.01, 1391.89, 53.00, LOCKED, 22.96, -508.99, 22.98, 0.00, LOCKED, 22.30, -567.31, 22.18, 0.00, 19.30, 24.11, 25.57
2018-05-24T13:37:02.798426, SEEKING, 0.174, 4.91, 13.0000, LOCKED, 147.08, 6218.57, 147.08, OPEN, 20.02, 0.00, 30.00, LOCKED, 52.99, 1392.86, 53.00, LOCKED, 22.99, -496.51, 22.98, 0.00, LOCKED, 22.20, -571.11, 22.18, 0.00, 19.31, 23.86, 25.66
2018-05-24T13:38:12.482599, SEEKING, 0.174, 4.89, 13.0000, LOCKED, 147.06, 6250.60, 147.08, OPEN, 20.04, 0.00, 30.00, LOCKED, 53.00, 1395.49, 53.00, LOCKED, 22.98, -506.86, 22.98, 0.00, LOCKED, 22.00, -559.79, 22.18, 0.00, 19.29, 24.09, 25.57
2018-05-24T13:39:21.279291, SEEKING, 0.174, 4.90, 13.0000, LOCKED, 147.03, 6229.22, 147.08, OPEN, 20.03, 0.00, 30.00, LOCKED, 53.00, 1394.87, 53.00, LOCKED, 22.86, -504.84, 22.98, 0.00, LOCKED, 22.40, -574.40, 22.18, 0.00, 19.31, 23.95, 25.51
