Data and time, Laser status, Laser current power (W), Laser current, Laser set power (W), LBO status, LBO current temp (C), LBO current, LBO set temp (C), VANADATE status, VANADATE current temp (C), VANADATE current, VANADATE set temp (C), ETALON status, ETALON current temp (C), ETALON current, ETALON set temp (C), DIODE1 status, DIODE1 current temp (C), DIODE1 temp current, DIODE1 set temp (C), DIODE1 current (A), DIODE2 status, DIODE2 current temp (C), DIODE2 temp current, DIODE2 set temp (C), DIODE2 current (A), Baseplate Temp (C), Heatsink Temp 1 (C), Heatsink Temp 2 (C)
2018-05-24T01:07:55.140405, SEEKING, 0.174, 4.86, 13.0000, LOCKED, 147.09, 6243.41, 147.08, OPEN, 19.98, 0.00, 30.00, LOCKED, 53.01, 1423.27, 53.00, LOCKED, 23.05, -496.11, 22.98, 0.00, LOCKED, 22.21, -557.60, 22.18, 0.00, 19.29, 23.94, 25.48
2018-05-24T01:09:04.859698, SEEKING, 0.174, 4.90, 13.0000, LOCKED, 147.08, 6243.43, 147.08, OPEN, 19.98, 0.00, 30.00, LOCKED, 53.01, 1423.75, 53.00, LOCKED, 22.91, -488.15, 22.98, 0.00, LOCKED, 22.16, -556.05, 22.18, 0.00, 19.30, 24.05, 25.41
2018-05-24T01:10:13.672102, SEEKING, 0.174, 4.89, 13.0000, LOCKED, 147.05, 6239.54, 147.08, OPEN, 20.02, 0.00, 30.00, LOCKED, 53.02, 1425.47, 53.00, LOCKED, 23.00, -493.34, 22.98, 0.00, LOCKED, 22.18, -556.29, 22.18, 0.00, 19.29, 23.97, 25.40
2018-05-24T01:11:22.488965, SEEKING, 0.174, 4.90, 13.0000, LOCKED, 147.09, 6240.99, 147.08, OPEN, 20.00, 0.00, 30.00, LOCKED, 53.03, 1424.28, 53.00, LOCKED, 22.82, -476.55, 22.98, 0.00, LOCKED, 22.19, -543.02, 22.18, 0.00, 19.29, 23.88, 25.51
2018-05-24T01:12:31.305374, SEEKING, 0.174, 4.86, 13.0000, LOCKED, 147.05, 6231.57, 147.08, OPEN, 20.00, 0.00, 30.00, LOCKED, 53.03, 1422.19, 53.00, LOCKED, 22.92, -494.82, 22.98, 0.00, LOCKED, 22.18, -547.98, 22.18, 0.00, 19.30, 24.02, 25.36
2018-05-24T01:13:40.081073, SEEKING, 0.174, 4.88, 13.0000, LOCKED, 147.12, 6272.77, 147.08, OPEN, 19.99, 0.00, 30.00, LOCKED, 53.00, 1425.18, 53.00, LOCKED, 22.85, -481.68, 22.98, 0.00, LOCKED, 22.17, -534.73, 22.18, 0.00, 19.27, 23.97, 25.35
2018-05-24T01:14:48.898173, SEEKING, 0.183, 4.89, 13.0000, LOCKED, 147.04, 6220.54, 147.08, OPEN, 20.00, 0.00, 30.00, LOCKED, 53.01, 1424.52, 53.00, LOCKED, 22.94, -494.09, 22.98, 0.00, LOCKED, 22.28, -558.10, 22.18, 0.00, 19.27, 23.92, 25.37
2018-05-24T01:15:57.713902, SEEKING, 0.174, 4.82, 13.0000, LOCKED, 147.06, 6281.59, 147.08, OPEN, 20.00, 0.00, 30.00, LOCKED, 52.99, 1425.59, 53.00, LOCKED, 22.98, -498.38, 22.98, 0.00, LOCKED, 22.18, -551.41, 22.18, 0.00, 19.29, 23.92, 25.45
2018-05-24T01:17:07.431886, SEEKING, 0.174, 4.91, 13.0000, LOCKED, 147.04, 6197.25, 147.08, OPEN, 20.00, 0.00, 30.00, LOCKED, 53.01, 1426.06, 53.00, LOCKED, 22.91, -487.95, 22.98, 0.00, LOCKED, 22.08, -554.76, 22.18, 0.00, 19.30, 23.88, 25.45
2018-05-24T01:18:16.189729, SEEKING, 0.174, 4.89, 13.0000, LOCKED, 147.06, 6241.10, 147.08, OPEN, 19.98, 0.00, 30.00, LOCKED, 53.01, 1425.48, 53.00, LOCKED, 22.86, -503.82, 22.98, 0.00, LOCKED, 22.17, -545.27, 22.18, 0.00, 19.28, 23.83, 25.41
